keyword,frequency,avg_score,paper_ids_str
genai technology adoption,60,0.8051849999999998,"25,64,121,297,317,428,479,503,505,645,654,741,791,848,939,965,971,1046,1219,1301,1315,1336,1343,1429,1800,1861,2024,2072,2133,2232,2273,2312,2325,2356,2407,2513,2558,2580,2795,2837,2850,3148,3156,3272,3309,3422,3478,3479,3553,3653,3697,3773,3783,3833,3859,3901,3923,3968,4041,4258"
education assessment,42,0.8097119047619048,"116,146,210,368,379,496,536,802,897,993,1083,1251,1294,1359,1576,1874,1882,2145,2175,2344,2359,2524,2626,2653,2834,2980,3000,3001,3431,3527,3631,3703,3745,3811,3849,3861,3867,3977,4017,4022,4078,4165"
natural language processing,40,0.7540950000000001,"46,69,147,148,158,213,342,629,983,1048,1414,1747,1755,2029,2110,2145,2210,2216,2433,2439,2802,2906,3250,3267,3360,3397,3398,3540,3590,3669,3673,3806,3842,3896,3966,4046,4170,4176,4190,4270"
genai product management,36,0.8395722222222224,"380,653,667,793,798,800,820,857,1034,1106,1321,1498,1646,1779,1801,2481,2490,2554,2685,2811,2838,2871,3021,3063,3128,3583,3619,3656,3699,3775,3966,4061,4092,4098,4117,4120"
chatgpt learningteaching,35,0.8681,"130,306,355,391,635,646,726,1107,1118,1119,1253,1361,1477,1803,2874,3051,3140,3211,3327,3381,3388,3392,3550,3628,3633,3776,3799,3908,3938,3952,4022,4119,4199,4216,4275"
educational technology learn,35,0.8073285714285715,"79,159,288,497,943,1078,1083,1448,1523,1639,1744,1758,1783,1784,1804,1825,1884,1915,2075,2212,2267,2295,2362,2407,2675,2968,3181,3196,3309,3473,3804,3858,4002,4035,4136"
generative adversarial network,33,0.7537696969696969,"17,138,590,595,672,1072,1281,1385,1386,1537,1751,1806,1928,2017,2414,2476,2561,2719,2734,2793,2927,2966,3021,3063,3077,3217,3352,3586,3893,3899,3920,4130,4258"
content creation,33,0.7527121212121213,"114,380,392,447,618,668,884,980,1276,1343,1494,1839,1876,2055,2197,2226,2510,2551,2590,2950,3106,3111,3262,3319,3389,3398,3564,3617,3818,3877,3926,4267,4271"
barrier genai adoption,33,0.7910727272727274,"13,76,325,463,491,511,571,773,1340,1738,1750,1942,1985,1993,2051,2241,2290,2361,2370,2386,2778,2929,3124,3134,3180,3383,3389,3693,3884,3902,4073,4107,4116"
image generation,31,0.6903709677419355,"102,135,279,303,399,568,634,920,1058,1059,1544,1681,2182,2260,2269,2302,2368,2575,3219,3261,3336,3370,3428,3602,3636,3882,4067,4171,4174,4208,4239"
stakeholder,30,0.7118668055555556,"191,221,598,830,912,969,1136,1220,1280,1294,1335,1436,1598,1732,2082,2141,2152,2422,2607,2762,2800,3121,3209,3211,3266,3392,3393,3426,3484,3990"
sustainable development,30,0.6486366666666668,"81,141,217,517,528,659,722,852,958,967,1026,1027,1422,1662,1942,2008,2095,2143,2296,2349,2431,2687,2957,3071,3077,3180,3230,3679,3727,3745"
advocate effective adoption,29,0.7163206896551724,"100,363,653,684,759,796,829,857,901,1332,1449,1524,1814,1904,2106,2421,2518,2716,2767,3118,3360,3504,3700,3755,3841,3985,4069,4071,4072"
technology acceptance model,27,0.7593518518518517,"173,290,474,688,1000,1013,1239,1252,1523,1646,1666,1709,1744,1861,2163,2587,2591,2822,3138,3195,3564,3634,3822,3895,3969,3973,4218"
selfregulate learning genai,25,0.8429119999999999,"99,296,475,621,690,1030,1089,1131,1394,1582,1666,1902,2053,2244,2253,2277,2598,2794,2832,2843,3017,3337,3751,3860,3905"
genai tool enhance,25,0.755616,"77,111,246,346,496,552,586,603,886,890,1129,1171,1320,1726,1820,2155,2357,2514,2692,2882,2930,2967,3173,3232,3266"
bridge gap,24,0.6398750000000001,"239,621,684,757,1191,1626,1714,1878,1904,1961,2150,2594,2836,3328,3337,3390,3456,3526,3560,3564,3571,3946,4001,4170"
genai model image,24,0.7996875000000001,"134,485,616,643,749,1182,2004,2038,2123,2492,2530,2902,2941,2964,3219,3265,3352,3409,3429,3430,3582,3874,4184,4186"
genai natural language,23,0.8076217391304349,"170,365,500,575,911,1093,1363,1608,1637,1652,1926,1979,2001,2283,2377,2488,2500,2533,3295,3447,3727,3910,4035"
genai researcher ethical,23,0.8016695652173914,"8,320,323,548,626,759,774,1178,1295,1622,1635,2211,2327,2522,2668,2951,2958,2978,3204,3206,3340,3499,3630"
privacy concern,23,0.6587434782608697,"56,216,312,784,807,903,914,1033,1102,1562,2161,2245,2550,2574,2860,2978,3261,3516,3676,4054,4063,4145,4223"
knowledge,21,0.6866571428571429,"32,352,795,933,1051,1185,1246,1788,1895,2278,2454,2590,2729,2855,2993,3138,3268,3613,3791,3991,4203"
interview participant,21,0.7256523809523808,"19,278,338,397,445,593,696,807,885,889,1042,1170,1190,1450,1681,2483,2821,3535,3838,4096,4139"
policy institutional support,21,0.6102619047619048,"124,171,188,208,389,1296,1407,1533,1556,1761,1765,1922,2046,2204,2331,2455,3247,3482,3659,3857,3860"
virtual reality,21,0.7528285714285714,"107,261,436,709,849,1146,1271,1555,1746,1796,2160,2255,2779,2789,2990,3462,3666,3754,3804,3930,3931"
enable personalize learning,21,0.7813619047619047,"227,280,374,593,870,1000,1015,1874,1877,1918,2030,2267,2277,2290,2331,2465,2671,2744,3586,3929,4149"
humancomputer interaction,20,0.7174850000000002,"101,247,270,433,532,660,666,1162,1164,1230,1403,2632,2890,3169,3246,3423,3457,3555,3618,4120"
genaidriven chatbot potentially,20,0.8446100000000001,"34,83,189,332,426,632,687,757,1168,1462,1709,2028,2185,2337,2552,2789,3172,3305,3676,4172"
consultation chatgpt genai,19,0.8126315789473683,"147,504,954,1308,1475,1734,2256,2371,2791,2866,3065,3243,3301,3626,3895,4091,4141,4229,4241"
educator student perception,19,0.7766789473684211,"205,223,688,689,693,1032,1110,1118,1302,1569,1613,2633,2710,2747,3164,3345,3597,3700,4216"
image video,19,0.7080842105263158,"152,328,784,990,1277,1795,1828,2373,2600,2629,2651,2981,3064,3108,3300,3352,3410,4020,4105"
neural network,18,0.7209722222222222,"13,413,561,1060,1938,2229,2245,2717,2910,2948,3033,3390,3424,3432,3626,3748,3987,3999"
automation,18,0.7077,"31,74,381,1165,1217,1269,1336,1341,1725,2367,2526,2772,2838,3312,3540,3780,4035,4133"
structural equation modeling,18,0.7276888888888889,"130,150,164,226,231,426,867,1054,1375,1505,1861,1894,2018,2665,2813,3327,3830,4090"
user experience,18,0.7366999999999999,"252,712,929,972,1032,1148,1499,1642,1774,1828,1841,2430,3460,3468,3586,3690,3823,4232"
artificial intelligence literacy,18,0.8297944444444445,"188,213,452,1291,1366,1375,1514,1948,2169,2329,2507,2736,2914,2958,3103,3719,3721,4156"
genai marketing education,18,0.8620333333333332,"254,294,528,612,758,856,1037,1355,1636,1853,2054,2471,2751,2784,3297,3681,3701,3819"
genai service integrate,17,0.7802058823529411,"257,375,393,808,870,941,1088,1642,1988,2180,2639,2756,2950,3246,3394,3785,4010"
tool chatgpt academic,17,0.8237058823529412,"161,823,839,1045,1312,1339,1695,2052,2230,2241,2259,2376,2406,2411,3164,4127,4162"
genai knowledge management,17,0.8362294117647059,"143,158,244,251,542,1009,1496,1794,1799,2308,2849,3201,3814,3818,4066,4112,4122"
design integration genai,17,0.8138411764705883,"687,849,986,1044,1133,1284,1330,1532,2018,2576,2735,3530,3629,3941,3993,4161,4261"
ethical privacy security,17,0.6599176470588235,"343,1088,1234,1384,1954,2493,2676,2869,3282,3317,3320,3493,3522,3567,3741,3884,4281"
genai ai creativity,17,0.8607470588235294,"698,797,954,1193,1333,1349,1638,2300,2945,2995,3004,3111,3320,3367,3491,3602,4238"
supply chain management,16,0.80988125,"53,597,656,711,892,1389,2058,2059,2201,2360,2431,2714,2715,2827,3994,4169"
digital transformation,16,0.775,"209,690,842,869,1051,1065,1504,1539,1857,2073,2778,3883,3957,4021,4106,4159"
student affective engagement,16,0.8146875,"99,225,241,788,1364,1514,1706,1942,1945,2743,3163,3249,3364,3611,3861,4188"
genai optimize healthcare,16,0.8208,"252,319,453,608,863,879,892,969,1001,1385,1387,1555,2234,2297,3076,3793"
assessment design,16,0.73606875,"170,442,832,897,1683,1761,1814,1873,2200,2662,2919,3114,3147,3151,3803,3867"
genai governance model,16,0.8120937500000001,"85,260,388,873,956,993,1174,2243,2318,2428,2505,2511,2722,3657,3695,4058"
genai sustainable workplace,16,0.8295625,"474,481,560,660,1138,1139,1685,1915,1990,2164,2196,2399,2608,2819,3590,3849"
technological innovation due,15,0.6702999999999999,"143,225,236,367,418,1687,2132,2379,2461,3286,3498,3517,3561,3626,3701"
programming course era,15,0.8317800000000001,"775,1215,1895,2096,2105,3187,3345,3684,3799,3878,3955,4039,4101,4122,4139"
intelligent tutor leverage,15,0.8194533333333333,"1350,1561,1856,2285,2294,2340,2348,2512,2596,3320,3455,3605,3858,3954,4089"
high education policy,15,0.7724866666666667,"159,282,483,863,1273,1574,1721,2074,2901,3365,3392,3565,3702,4058,4146"
transformer model,15,0.6265133333333334,"142,1582,1748,2126,2129,2498,2740,3023,3025,3026,3048,3231,3435,3708,3842"
educational institution,15,0.7139333333333333,"41,1520,1605,1609,1902,2014,2105,2413,2462,2624,2800,3169,3673,3776,4235"
evaluate impact genai,15,0.7573666666666666,"542,770,851,952,973,1068,1087,1395,1423,2460,2465,2924,3303,3691,4266"
uphold responsible ethical,14,0.6753571428571429,"848,1532,1636,1706,1965,2098,2453,2638,2834,2874,3102,3278,3581,3853"
learn model,14,0.7030214285714286,"89,1021,1200,1596,1599,1743,1935,2128,2574,2654,2854,3238,4012,4236"
genai solution empower,14,0.7760071428571428,"792,885,920,1123,2043,2675,2731,3051,3184,3311,3652,3907,3953,4253"
educator,14,0.7630571428571428,"13,979,1031,1230,1310,1475,1680,1846,2390,2885,3322,3381,3472,3522"
facilitate ethical ai,14,0.7480785714285715,"145,555,669,1146,1532,1549,1557,1884,1899,2007,2301,2594,3316,4156"
genai detection task,14,0.8203857142857142,"2055,2617,2660,3031,3035,3044,3046,3050,3056,3058,3060,3525,3554,3627"
prompt engineering incorporate,14,0.7710357142857144,"99,149,312,858,1099,1771,1853,2258,2432,2751,3304,3463,3848,4271"
design,14,0.7484500000000001,"6,101,333,432,473,612,1186,1625,1715,1900,1909,2961,3698,3844"
plagiarism,14,0.732,"80,257,661,1236,1818,1863,1873,2292,2438,2903,3315,3344,3516,3740"
chatbot writing learning,14,0.8757714285714288,"314,502,851,1110,1311,1568,1649,2127,2315,2616,2815,3427,3728,4059"
critical thinking remain,13,0.7678923076923075,"444,1524,1884,1966,2111,2254,2361,2611,2664,2693,3203,3254,3808"
education student,13,0.7512076923076924,"548,561,607,916,1178,1390,1475,2511,2957,3102,3159,4014,4173"
ai technology urgent,13,0.7253999999999999,"82,1759,1788,1966,2216,3361,3413,3539,3576,3820,3888,4215,4226"
awareness genai tool,13,0.7840615384615385,"296,424,518,858,1008,1240,1325,2899,3163,3518,3696,4036,4085"
machinegenerated text detection,13,0.8962076923076924,"3029,3032,3034,3036,3038,3040,3041,3043,3046,3052,3053,3054,3059"
innovation theory genai,13,0.8381692307692308,"84,226,508,1140,1290,1841,2000,2724,2998,3086,3296,3365,3514"
retrieval augmented generation,13,0.7548153846153846,"171,420,585,675,681,1332,1400,1937,3588,3646,3716,3850,4037"
digital technology,13,0.7301538461538463,"809,919,1444,1690,1800,2560,2657,2952,3009,3612,3826,4073,4280"
student attitude genai,13,0.8436230769230768,"1242,1270,1314,1415,1770,1920,2440,2589,2985,3134,3184,3437,3504"
ai secure genai,13,0.7929923076923078,"96,309,1271,1620,2166,2499,2596,2640,2773,2828,3298,3463,3487"
knowledge creation,13,0.7280307692307691,"478,512,1766,1776,2513,2876,2975,3527,3612,3676,3682,3718,4137"
learn experience,13,0.7892692307692308,"111,167,186,278,492,777,1158,1351,2009,2432,2675,3581,3802"
ai chatgpt cybersecurity,12,0.8165250000000003,"748,1334,1587,2122,2182,2205,2745,2999,3136,3256,4165,4281"
genai patient communication,12,0.8459916666666666,"162,169,176,300,1540,1570,3286,3353,3362,3397,3738,3823"
texttoimage generation generate,12,0.757225,"925,927,952,1837,1994,2995,3028,3208,3376,3453,3937,4204"
augment capability genai,12,0.7232166666666666,"47,115,689,2497,2698,2964,3153,3184,3557,3620,3992,4133"
instructional design education,12,0.8441749999999999,"270,566,571,619,1879,2046,2241,2382,2390,2638,3499,3932"
humanai social collaboration,12,0.81425,"4,16,407,444,1064,1151,1225,1870,2952,3099,3458,4248"
developer tool ai,12,0.7790833333333333,"284,1196,1682,1875,1938,2014,2090,2779,3248,3527,3971,4170"
development aibase tool,12,0.7459416666666665,"462,657,718,817,2084,2208,2209,2790,3273,3491,4163,4242"
english foreign language,12,0.7274833333333334,"198,574,754,974,1322,1562,1833,1846,2330,2742,3751,3755"
authenticity,11,0.6325363636363637,"34,811,2099,2300,3000,3024,3239,3745,3767,3861,4125"
leverage genai synthetic,11,0.7488272727272727,"249,436,659,668,836,875,1098,1221,1411,3346,3544"
multimodal literacy genai,11,0.8246636363636365,"36,185,256,620,1076,1326,1433,1781,2233,2884,3020"
designmethodologyapproach,11,0.716197520661157,"536,1290,1585,2196,2655,2679,2752,2998,3329,3792,3972"
transformer gpt,11,0.7179090909090909,"348,1579,2088,2429,2770,3151,3660,3669,3673,4049,4252"
genai adoption university,11,0.857618181818182,"416,947,1031,1132,1220,1230,1456,1567,1576,1745,2912"
student genai tool,11,0.829990909090909,"266,315,353,896,1633,1749,2386,2591,2926,3407,3853"
ethical implication,11,0.7056,"200,250,390,421,1421,1568,1724,2112,3292,3507,4123"
knowledge graph,11,0.7793454545454545,"35,88,95,341,420,1104,2263,2890,2905,3784,4181"
prisma,11,0.6007272727272727,"132,148,561,575,1846,2604,2994,3275,3529,3567,3818"
professional development tpd,11,0.7621272727272725,"144,489,980,1342,1922,2346,2571,2725,2997,3380,3636"
higher education,11,0.7272545454545454,"451,551,552,870,1021,1391,1456,1660,1745,2403,3321"
identify leverage,11,0.6346363636363636,"83,244,1386,1655,1952,2134,2369,2791,3599,3656,3699"
implement ethical practice,11,0.6725181818181818,"341,1377,1513,1746,1891,2435,2677,3380,3705,3851,4052"
literacy student,11,0.8373727272727273,"354,441,576,620,1452,1561,1687,2061,3423,3477,3894"
student learn outcome,11,0.7713454545454546,"154,227,433,652,1827,1943,2249,2347,3178,3700,4102"
datum privacy workforce,11,0.6168272727272727,"472,942,948,1244,1341,2058,2290,2435,2571,2833,3140"
genai privacy protection,10,0.8065999999999999,"114,953,1067,1165,1197,1731,2158,2762,3121,3593"
generation application,10,0.7092,"603,858,1100,1300,1545,2468,3207,3223,4112,4197"
build,10,0.64709,"225,785,1320,2318,2520,2605,2792,3083,3866,3886"
preservice teacher researcher,10,0.75222,"253,729,1238,1335,1677,1925,2447,2837,3097,3946"
productivity gain consider,10,0.6691499999999999,"486,1192,1592,1912,2158,2498,2578,2645,3021,3732"
language education chatgpt,10,0.87271,"412,752,1251,1396,2292,2430,2956,3166,3215,4223"
variational autoencoder,10,0.77631,"31,131,362,466,926,1956,1980,2161,2630,4200"
genai purpose artificial,10,0.7439600000000001,"1248,1996,2873,3355,3721,3903,3918,3920,3938,4097"
chinese university,10,0.74245,"19,207,1065,1131,1236,1338,1862,2723,2742,3157"
actualized behavioral intention,10,0.6974800000000001,"11,309,704,1503,1768,1869,2259,2446,2498,3339"
student ai usage,10,0.80687,"228,593,807,828,839,1847,2225,2793,3990,4193"
design art creativity,10,0.8796899999999999,"244,814,821,2775,3127,3368,3411,3458,3607,4024"
educational digital literacy,10,0.85584,"184,224,495,1120,1241,1510,2074,2942,3440,3616"
academic misconduct case,10,0.7337,"1349,1820,1970,2298,3214,3471,3485,3771,3961,4194"
academic writing practice,9,0.8442555555555555,"239,450,717,1365,1722,1984,2055,2699,4046"
achieve efl learner,9,0.8025222222222221,"364,1231,2020,2198,2301,2335,2723,3751,3843"
genai change design,9,0.7603222222222222,"831,1340,1457,1699,2146,2521,2707,3162,3221"
challenge opportunity genai,9,0.7442444444444445,"931,952,1837,1877,2970,3286,3685,3789,3874"
cybersecurity profession genai,9,0.8779888888888888,"29,2104,2328,2606,3260,3546,3782,4011,4151"
critical artificial intelligence,9,0.7571,"471,1145,1434,2195,2962,3116,3895,4042,4283"
effective ethical curriculum,9,0.7920333333333334,"349,387,555,898,1220,2155,2286,2660,3412"
solve problem,9,0.6651888888888889,"461,2287,2289,2886,3186,3461,3505,3595,3928"
software engineering student,9,0.8216555555555555,"769,1206,1461,2581,2721,3454,3471,3572,4285"
information literacy,9,0.8093777777777778,"1613,2077,2448,2554,2781,2866,3226,3280,3786"
organizational workflow,9,0.736211111111111,"26,560,1169,1379,2627,2804,3108,3154,3460"
navigate landscape genai,9,0.6972111111111111,"562,1716,1770,3305,3435,3500,3810,3880,4211"
content generate genai,9,0.7893777777777777,"600,844,1263,2202,3104,3129,3808,4173,4274"
academic performance,9,0.7330111111111112,"246,499,646,1375,2315,2394,3017,3118,4125"
adopt technology,9,0.6991111111111112,"152,740,1209,2227,2245,2479,2670,3431,3582"
prediction artificial intelligence,9,0.7556333333333334,"392,577,626,1289,1350,3013,3204,3248,3949"
